People_num,Meters,Have_gas,Have_induction,Have_vitro,Have_AC,Have_calef,Monthm,Day_of_the_week,Kwh_daily_consumption
7,190,1,0,2,2,2,1,2,25.579726868417907
2,149,1,0,1,2,1,9,7,14.986258581971615
4,192,0,1,0,2,1,4,5,31.453809260849642
7,61,0,1,2,2,1,1,0,51.08582245512844
7,100,2,1,2,2,1,8,2,26.646197299451913
5,107,0,0,1,0,2,2,3,20.829434077328422
7,140,1,1,0,0,2,9,5,24.670838113467955
1,154,0,1,2,1,2,9,6,30.022618168314704
3,159,1,0,1,2,0,4,4,17.463690149926858
5,99,0,2,0,2,2,4,7,16.86518814072476
5,197,1,0,1,2,0,11,4,23.87747786310242
3,86,0,2,1,1,1,6,2,29.164281908005883
3,170,0,0,0,2,2,2,6,21.064056211055107
7,101,0,1,2,1,1,4,3,31.726880542266034
5,168,2,2,1,2,2,9,4,24.23302295411433
4,160,0,2,0,1,0,1,7,18.476944646074223
4,118,2,1,1,0,2,11,6,19.91782791863465
3,66,1,2,0,0,2,3,6,10.805271354152266
7,70,1,0,0,0,1,10,4,19.437594941824887
5,186,1,0,0,1,2,8,6,37.236098101302964
3,117,0,2,2,0,2,8,6,16.32968347881745
2,194,2,2,2,0,2,9,4,19.519423592346275
1,74,1,1,1,2,1,12,2,35.9378930774256
4,144,0,1,1,2,1,5,5,23.913985360689377
1,65,2,1,1,2,2,10,4,13.332657685462902
6,76,2,2,2,1,0,1,0,21.2016709656465
3,96,0,1,1,0,1,10,3,16.62486588629927
1,81,0,1,2,2,0,7,7,13.208941386708464
7,53,0,0,0,2,1,6,0,16.677898972234118
4,150,2,0,1,0,2,10,0,21.071468433220183
6,102,2,2,1,0,0,1,3,24.907243462658666
7,121,2,0,1,0,1,3,5,33.225327372128305
1,112,0,0,0,1,1,4,0,17.731173450494047
1,121,0,2,2,0,1,4,4,17.601416059779392
6,194,1,0,1,1,2,10,1,27.796498680237942
6,158,2,1,0,2,1,4,5,36.19451983575943
2,148,1,0,2,0,1,10,0,11.00309921064884
2,174,1,1,0,1,0,2,3,14.35111970762547
6,162,2,2,0,2,0,10,6,22.764754074873284
7,131,2,1,0,1,1,6,1,40.629827602596094
7,70,0,1,0,0,1,2,0,49.32525044198707
1,117,1,0,0,0,1,10,4,9.012070469583339
1,137,2,1,1,2,1,12,2,39.80080877343409
3,80,1,1,0,0,2,6,3,12.3634977190862
3,164,2,1,1,0,2,5,2,19.825304279771185
1,176,2,0,2,2,1,10,2,16.514798359790586
5,190,0,1,1,2,0,6,5,28.735455161697125
1,64,1,1,1,1,2,9,3,22.401383006486885
1,85,1,2,0,0,2,9,6,8.810721525747267
6,164,2,0,0,1,1,6,1,36.59650497359965
1,57,1,1,1,1,2,7,2,23.400313052536234
7,143,2,2,1,1,0,5,0,27.73010160113061
3,93,1,1,1,2,1,6,4,16.383302964263574
3,51,1,2,1,2,2,11,3,11.820651270920731
3,172,1,0,1,1,1,8,4,34.668881702351136
6,119,0,2,0,2,2,11,6,20.53092153962387
5,123,2,0,2,2,2,10,3,21.278970344620834
2,180,2,0,0,0,1,9,1,17.338610969713166
6,78,1,2,1,0,2,4,5,20.227800480961456
6,73,2,0,1,0,0,2,7,21.748914773317576
3,83,2,2,2,1,1,8,6,32.42595302255388
2,137,2,0,0,0,1,9,1,14.173147272096994
7,175,2,0,0,1,0,5,2,27.656435995847644
2,57,1,1,1,0,1,7,6,12.943376287123035
5,189,0,2,2,1,0,6,3,33.57212132299284
7,86,0,2,1,2,0,11,2,26.1403114596955
1,180,1,0,1,2,0,6,1,14.53045157659375
2,120,1,0,1,1,2,2,1,13.43558021707973
4,174,1,1,2,1,1,10,2,19.883170504072112
7,85,2,2,2,1,0,3,0,21.6834855772209
2,59,1,1,1,0,0,9,0,11.948604112262158
3,70,0,2,0,0,2,10,1,12.470002382778443
